"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","65 and over","2865","1130","1655","30","45","0","0","0","100","39.4","57.8","1","1.6","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","65 to 74","1710","650","1025","10","25","0","0","0","100","38","59.9","0.6","1.5","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","75 and over","1150","480","630","15","25","0","0","0","100","41.7","54.8","1.3","2.2","0","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","Total","399575","353415","10140","30865","1775","3040","175","155","100","88.4","2.5","7.7","0.4","0.8","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","0 to 14","60485","54585","940","3540","495","845","30","55","100","90.2","1.6","5.9","0.8","1.4","0","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","0 to 4","19775","17710","265","1215","180","385","10","15","100","89.6","1.3","6.1","0.9","1.9","0.1","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","5 to 9","20735","18730","345","1195","180","265","5","25","100","90.3","1.7","5.8","0.9","1.3","0","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","10 to 14","19975","18150","330","1130","140","205","5","20","100","90.9","1.7","5.7","0.7","1","0","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","15 to 24","52410","45090","905","5520","320","520","25","30","100","86","1.7","10.5","0.6","1","0","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","15 to 19","22280","19850","325","1720","130","225","10","15","100","89.1","1.5","7.7","0.6","1","0","0.1"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","20 to 24","30130","25245","580","3795","190","295","15","10","100","83.8","1.9","12.6","0.6","1","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","25 to 44","109605","93800","2895","11205","535","1065","65","40","100","85.6","2.6","10.2","0.5","1","0.1","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","45 to 64","116445","105105","3395","7170","250","445","50","25","100","90.3","2.9","6.2","0.2","0.4","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","65 and over","60635","54830","2010","3425","180","165","10","10","100","90.4","3.3","5.6","0.3","0.3","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","65 to 74","37640","34260","1190","1975","105","95","5","5","100","91","3.2","5.2","0.3","0.3","0","0"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","75 and over","22990","20575","815","1450","75","65","5","0","100","89.5","3.5","6.3","0.3","0.3","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","Total","26000","24960","315","610","50","60","5","5","100","96","1.2","2.3","0.2","0.2","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","0 to 14","3990","3885","15","70","5","10","0","0","100","97.4","0.4","1.8","0.1","0.3","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","0 to 4","1205","1185","0","10","5","5","0","0","100","98.3","0","0.8","0.4","0.4","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","5 to 9","1345","1305","5","25","0","5","0","0","100","97","0.4","1.9","0","0.4","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","10 to 14","1445","1400","10","35","0","5","0","0","100","96.9","0.7","2.4","0","0.3","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","15 to 24","2990","2905","20","55","5","5","0","0","100","97.2","0.7","1.8","0.2","0.2","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","15 to 19","1560","1520","5","30","0","5","0","0","100","97.4","0.3","1.9","0","0.3","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","20 to 24","1425","1390","10","20","5","0","0","0","100","97.5","0.7","1.4","0.4","0","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","25 to 44","5610","5355","70","155","15","15","0","0","100","95.5","1.2","2.8","0.3","0.3","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","45 to 64","8180","7850","125","170","10","20","0","0","100","96","1.5","2.1","0.1","0.2","0","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","65 and over","5230","4960","85","165","15","5","0","0","100","94.8","1.6","3.2","0.3","0.1","0","0"
